Timestamp,Name,Action,Status,Image_Path,Confidence
2025-11-20 12:45:46,k,Standing,ALERT TRIGGERED,alert_snapshots\alert_k_20251120_124546.jpg,0.77
2025-11-20 12:45:48,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124548.jpg,0.77
2025-11-20 12:45:51,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124551.jpg,0.77
2025-11-20 12:45:53,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124553.jpg,0.77
2025-11-20 12:45:56,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124556.jpg,0.77
2025-11-20 12:45:59,k,One Hand Raised (Left),ALERT CONTINUED,alert_snapshots\alert_k_20251120_124559.jpg,0.77
2025-11-20 12:46:01,k,One Hand Raised (Right),ALERT CONTINUED,alert_snapshots\alert_k_20251120_124601.jpg,0.77
2025-11-20 12:46:04,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124604.jpg,0.77
2025-11-20 12:46:06,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124606.jpg,0.77
2025-11-20 12:46:09,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124609.jpg,0.77
2025-11-20 12:46:11,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124611.jpg,0.77
2025-11-20 12:46:14,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124614.jpg,0.77
2025-11-20 12:46:25,k,One Hand Raised (Right),ALERT TRIGGERED,alert_snapshots\alert_k_20251120_124625.jpg,0.77
2025-11-20 12:46:27,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124627.jpg,0.77
2025-11-20 12:46:30,k,One Hand Raised (Right),ALERT CONTINUED,alert_snapshots\alert_k_20251120_124630.jpg,0.77
2025-11-20 12:46:33,k,One Hand Raised (Right),ALERT CONTINUED,alert_snapshots\alert_k_20251120_124633.jpg,0.77
2025-11-20 12:46:35,k,One Hand Raised (Right),ALERT CONTINUED,alert_snapshots\alert_k_20251120_124635.jpg,0.77
2025-11-20 12:46:38,k,One Hand Raised (Right),ALERT CONTINUED,alert_snapshots\alert_k_20251120_124638.jpg,0.77
2025-11-20 12:46:40,k,One Hand Raised (Right),ALERT CONTINUED,alert_snapshots\alert_k_20251120_124640.jpg,0.77
2025-11-20 12:46:43,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124643.jpg,0.77
2025-11-20 12:46:45,k,One Hand Raised (Right),ALERT CONTINUED,alert_snapshots\alert_k_20251120_124645.jpg,0.77
2025-11-20 12:46:48,k,One Hand Raised (Right),ALERT CONTINUED,alert_snapshots\alert_k_20251120_124648.jpg,0.77
2025-11-20 12:46:51,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124651.jpg,0.77
2025-11-20 12:46:53,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124653.jpg,0.77
2025-11-20 12:47:04,k,One Hand Raised (Right),Action Performed,N/A,0.77
2025-11-20 12:47:15,k,Standing,ALERT TRIGGERED,alert_snapshots\alert_k_20251120_124715.jpg,0.77
2025-11-20 12:47:15,k,One Hand Raised (Right),Action Performed,N/A,0.77
2025-11-20 12:47:27,k,Standing,ALERT TRIGGERED,alert_snapshots\alert_k_20251120_124727.jpg,0.77
2025-11-20 12:47:29,k,One Hand Raised (Right),Action Performed,N/A,0.77
2025-11-20 12:47:40,k,Standing,ALERT TRIGGERED,alert_snapshots\alert_k_20251120_124740.jpg,0.77
2025-11-20 12:47:42,k,One Hand Raised (Right),Action Performed,N/A,0.77
2025-11-20 12:47:54,k,Standing,ALERT TRIGGERED,alert_snapshots\alert_k_20251120_124754.jpg,0.77
2025-11-20 12:47:57,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124757.jpg,0.77
2025-11-20 12:47:59,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124759.jpg,0.77
2025-11-20 12:48:02,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124802.jpg,0.77
2025-11-20 12:48:05,k,Standing,ALERT CONTINUED,alert_snapshots\alert_k_20251120_124805.jpg,0.77
2025-11-20 13:55:48,kk,Standing,ACTION NOT PERFORMED (TIMEOUT),N/A,0.69
2025-11-20 13:55:49,kk,Standing,ALERT TRIGGERED,alert_snapshots\alert_kk_20251120_135549.jpg,0.69
2025-11-20 13:55:50,kk,One Hand Raised (Right),Action Performed,N/A,0.69
2025-11-20 13:56:11,kk,Standing,ACTION NOT PERFORMED (TIMEOUT),N/A,0.69
2025-11-20 13:56:12,kk,Standing,ALERT TRIGGERED,N/A,0.69
2025-11-20 13:56:15,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:56:17,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:56:51,kk,Standing,ALERT TRIGGERED,alert_snapshots\alert_kk_20251120_135651.jpg,0.69
2025-11-20 13:56:53,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:56:54,kk,One Hand Raised (Right),Action Performed,N/A,0.69
2025-11-20 13:57:05,kk,Standing,ACTION NOT PERFORMED (TIMEOUT),N/A,0.69
2025-11-20 13:57:06,kk,Standing,ALERT TRIGGERED,N/A,0.69
2025-11-20 13:57:19,kk,Standing,ACTION NOT PERFORMED (TIMEOUT),N/A,0.69
2025-11-20 13:57:20,kk,Standing,ALERT TRIGGERED,N/A,0.69
2025-11-20 13:57:23,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:57:25,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:57:28,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:57:30,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:57:33,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:57:36,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:57:38,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:57:41,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:57:55,kk,Standing,ACTION NOT PERFORMED (TIMEOUT),N/A,0.69
2025-11-20 13:57:56,kk,Standing,ALERT TRIGGERED,alert_snapshots\alert_kk_20251120_135756.jpg,0.69
2025-11-20 13:57:58,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:01,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:01,kk,One Hand Raised (Right),Action Performed,N/A,0.69
2025-11-20 13:58:14,kk,Standing,ACTION NOT PERFORMED (TIMEOUT),N/A,0.69
2025-11-20 13:58:15,kk,Standing,ALERT TRIGGERED,N/A,0.69
2025-11-20 13:58:17,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:20,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:23,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:25,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:28,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:31,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:33,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:36,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:38,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:41,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:43,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:46,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:49,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:51,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:54,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:58:57,kk,Standing,ALERT CONTINUED,alert_snapshots\alert_kk_20251120_135857.jpg,0.69
2025-11-20 13:58:59,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:02,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:04,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:07,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:09,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:12,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:14,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:17,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:20,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:22,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:25,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:27,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:30,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:33,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:35,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:38,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:41,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:43,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:46,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:48,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:51,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:54,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:56,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 13:59:57,kk,One Hand Raised (Right),Action Performed,N/A,0.69
2025-11-20 14:00:14,kk,Standing,ACTION NOT PERFORMED (TIMEOUT),N/A,0.69
2025-11-20 14:00:14,kk,Standing,ALERT TRIGGERED,alert_snapshots\alert_kk_20251120_140014.jpg,0.69
2025-11-20 14:00:17,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:20,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:22,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:25,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:27,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:28,FUGITIVE_unkn,FUGITIVE_DETECTED,FUGITIVE ALERT,alert_snapshots\alert_FUGITIVE_unkn_20251120_140028.jpg,0.58
2025-11-20 14:00:30,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:32,FUGITIVE_unkn,FUGITIVE_DETECTED,FUGITIVE ALERT,alert_snapshots\alert_FUGITIVE_unkn_20251120_140032.jpg,0.63
2025-11-20 14:00:33,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:36,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:38,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:41,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:43,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:46,FUGITIVE_unkn,FUGITIVE_DETECTED,FUGITIVE ALERT,alert_snapshots\alert_FUGITIVE_unkn_20251120_140046.jpg,0.52
2025-11-20 14:00:46,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:49,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:49,FUGITIVE_unkn,FUGITIVE_DETECTED,FUGITIVE ALERT,alert_snapshots\alert_FUGITIVE_unkn_20251120_140049.jpg,0.61
2025-11-20 14:00:51,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:54,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:57,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:00:59,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:01:02,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:01:04,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:01:05,kk,One Hand Raised (Right),Action Performed,N/A,0.69
2025-11-20 14:01:18,kk,Standing,ACTION NOT PERFORMED (TIMEOUT),N/A,0.69
2025-11-20 14:01:19,kk,Standing,ALERT TRIGGERED,alert_snapshots\alert_kk_20251120_140119.jpg,0.69
2025-11-20 14:01:22,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:01:24,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:01:27,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:01:30,kk,Standing,ALERT CONTINUED,N/A,0.69
2025-11-20 14:53:41,kk,MISSING_ACTION,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\kk_capture_20251120_145341.jpg,1.0
2025-11-20 14:53:44,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:53:47,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:53:50,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:54:01,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:54:36,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:54:39,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:54:42,kk,MISSING_ACTION,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\kk_capture_20251120_145442.jpg,1.0
2025-11-20 14:54:45,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:54:48,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:54:51,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:54:54,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:55:15,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:55:18,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:55:21,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:55:42,kk,MISSING_ACTION,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\kk_capture_20251120_145542.jpg,1.0
2025-11-20 14:55:46,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:55:49,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:55:52,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:56:32,FUGITIVE_hhh,DETECTED,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\FUGITIVE_hhh_capture_20251120_145632.jpg,1.0
2025-11-20 14:56:39,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 14:56:42,FUGITIVE_hhh,DETECTED,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\FUGITIVE_hhh_capture_20251120_145642.jpg,1.0
2025-11-20 14:56:42,kk,MISSING_ACTION,ALERT,N/A,1.0
